dist	sigma	ibd	ibdcorr	r
Gamma_4	1	0.213396984925	-0.0518766762493	29
Gamma_4	1	0.21067839196	-0.0553322429534	30
Gamma_4	1	0.208170854271	-0.058572806566	31
Gamma_4	1	0.204608040201	-0.0638702671226	32
Gamma_4	1	0.20443718593	-0.0638205467072	33
Gamma_4	1	0.20227638191	-0.0666533976875	34
Gamma_4	1	0.200984924623	-0.0685155126449	35
Gamma_4	1	0.199668341709	-0.0701918062052	36
Gamma_4	1	0.197316582915	-0.0735367969426	37
Gamma_4	1	0.196391959799	-0.0744932945241	38
Gamma_4	1	0.196507537688	-0.0741374093844	39
Gamma_4	1	0.195994974874	-0.0745939486813	40
Gamma_4	1	0.194944723618	-0.0761643253686	41
Gamma_4	1	0.194592964824	-0.0765790197876	42
Gamma_4	1	0.193251256281	-0.0784553777673	43
Gamma_4	1	0.192869346734	-0.0791839792994	44
Gamma_4	1	0.192040201005	-0.0802421351205	45
Gamma_4	1	0.191266331658	-0.0813464383859	46
Gamma_4	1	0.191477386935	-0.0809565904913	47
Gamma_4	1	0.191929648241	-0.080517770177	48
Gamma_4	1	0.192778894472	-0.079362671334	49
Gamma_4	1	0.192381909548	-0.0797749313107	50
Gamma_10	1	0.512582914573	0.34141100349	1
Gamma_10	1	0.473100502513	0.288661877037	2
Gamma_10	1	0.428849246231	0.228635164115	3
Gamma_10	1	0.400155778894	0.190758569531	4
Gamma_10	1	0.376095477387	0.157471202557	5
Gamma_10	1	0.359924623116	0.136400540001	6
Gamma_10	1	0.343954773869	0.114424331925	7
Gamma_10	1	0.331683417085	0.0978637540968	8
Gamma_10	1	0.319206030151	0.0808188681527	9
Gamma_10	1	0.30891959799	0.067224859714	10
Gamma_10	1	0.300326633166	0.0555100700348	11
Gamma_10	1	0.291457286432	0.0439441032027	12
Gamma_10	1	0.284753768844	0.0353356773833	13
Gamma_10	1	0.277608040201	0.0254809463239	14
Gamma_10	1	0.270281407035	0.0161464729576	15
Gamma_10	1	0.263748743719	0.00707426564267	16
Gamma_10	1	0.258608040201	0.000537571380981	17
Gamma_10	1	0.254386934673	-0.0051355143421	18
Gamma_10	1	0.248427135678	-0.0133604117919	19
Gamma_10	1	0.244060301508	-0.0189488741455	20
Gamma_10	1	0.240783919598	-0.0232970555732	21
Gamma_10	1	0.237507537688	-0.0275180218038	22
Gamma_10	1	0.233964824121	-0.0323861107071	23
Gamma_10	1	0.230969849246	-0.036181046494	24
Gamma_10	1	0.228412060302	-0.0397173252577	25
Gamma_10	1	0.225336683417	-0.0434890667816	26
Gamma_10	1	0.222708542714	-0.0474270252968	27
Gamma_10	1	0.219844221106	-0.0513425066776	28
Gamma_10	1	0.216572864322	-0.0556694038956	29
Gamma_10	1	0.215070351759	-0.0573491295415	30
Gamma_10	1	0.213010050251	-0.0603534243889	31
Gamma_10	1	0.211824120603	-0.0618909937232	32
Gamma_10	1	0.211547738693	-0.0617474710689	33
Gamma_10	1	0.209050251256	-0.0652917873444	34
Gamma_10	1	0.207150753769	-0.0678846667237	35
Gamma_10	1	0.205552763819	-0.0700324935435	36
Gamma_10	1	0.204658291457	-0.0713301047517	37
Gamma_10	1	0.203417085427	-0.0728471701789	38
Gamma_10	1	0.202105527638	-0.0747822865299	39
Gamma_10	1	0.200467336683	-0.0769580355584	40
Gamma_10	1	0.199633165829	-0.0780855821929	41
Gamma_10	1	0.198783919598	-0.0792848655293	42
Gamma_10	1	0.198477386935	-0.0795498905891	43
Gamma_10	1	0.19783919598	-0.0804434516499	44
Gamma_10	1	0.198100502513	-0.0801440608034	45
Gamma_10	1	0.198728643216	-0.0792911700951	46
Gamma_10	1	0.197175879397	-0.0813464470404	47
Gamma_10	1	0.197185929648	-0.0812956435304	48
Gamma_10	1	0.196296482412	-0.0827869836051	49
Gamma_10	1	0.196844221106	-0.0819299462233	50
